mid,title_orig,title
3513860738736592,《中国达人秀》聪明小狗萌翻全场|《中国达人秀》第四季_新浪视频,"['视频', '全场', '小狗', '聪明', '达人', '萌翻', '新浪', '中国', '第四季', '秀']"
3514248674508713,PSY联手MC Hammer激情献唱神曲《江南Style》,"['神曲', '献唱', '激情', '联手', '江南']"
3501144732960589,莫言面对央视专访称不知道是否幸福|2012诺贝尔奖|莫言|幸福_新浪视频,"['视频', '不', '面对', '是否', '专访', '诺贝尔奖', '幸福', '知道', '央视', '新浪', '莫言', '称']"
3489022225639053,我两艘海监船今日将抵钓鱼岛宣示主权|海监船|钓鱼岛_新浪视频,"['视频', '钓鱼岛', '两艘', '主权', '新浪', '海监船', '宣示', '今日', '抵']"
3514226330965968,西班牙拟推新政 16万欧元买房可获绿卡,"['获', '欧元', '推', '买房', '绿卡', '西班牙', '新政', '拟', '万']"
3513230800030606,30余名韩高中生在北京抢劫便利店 赔偿后和解,"['后', '韩', '赔偿', '北京', '余名', '和解', '抢劫', '便利店', '高中生']"
3515111975433715,凯迪网-资讯-有你，更有影响力！,"['更', '资讯', '影响力', '凯迪网']"
3453659264336432,Adele - Rolling In The Deep-中英字幕,"['英', '字幕', '中']"
3511450574160553,朱继东：党的重点应转向纯洁性建设,"['应', '纯洁性', '转向', '建设', '党', '朱继东', '重点']"
3511502893816399,页面没有找到 - 梅花网 -营销作品宝库,"['梅花', '没有', '页面', '营销', '宝库', '找到', '网', '作品']"
3492274442821438,《人在囧途之泰囧》曝三人版预告_新浪视频,"['视频', '之泰', '预告', '版', '新浪', '三', '曝', '人', '囧', '途']"
3481893729330114,加拿大又发生一起华人遭碎尸案 - 战法新闻 - 新欧洲 - 战斗在法国,"['遭', '法国', '新', '新闻', '华人', '一起', '欧洲', '战斗', '战法', '发生', '碎尸案', '加拿大']"
3495502886470381,铁道内部人士称12306购票网站崩溃因运力不足,"['不足', '网站', '内部', '崩溃', '称', '运力', '铁道', '人士', '购票']"
3471953535068741,全市已募集善款逾6000万_重点_新京报电子报,"['电子报', '新', '善款', '募集', '已', '逾', '京报', '全市', '重点', '万']"
3515658631052118,宋茜年代秀自我介绍与主持人介绍维尼夫妇片段 by：文卉,"['夫妇', '主持人', '年代', '自我介绍', '宋茜', '片段', '介绍', '文卉', '秀', '维尼']"
3482536535233537,世界体坛黑暗一天 激励一代人的车坛神话宣告终结_综合体育_新浪竞技风暴_新浪网,"['一代人', '激励', '体坛', '黑暗', '车坛', '宣告', '世界', '新浪网', '一天', '新浪', '神话', '竞技风暴', '终结', '体育', '综合']"
3446163137295108,写给15岁的女儿_乐嘉_新浪博客,"['岁', '博客', '乐嘉', '新浪', '写给', '女儿']"
3514567386217011,"牛背山-梦想之地,牛背山旅游攻略 - 马蜂窝","['旅游', '之地', '马蜂窝', '山', '牛背山', '牛', '背', '攻略', '梦想']"
5628082462149382559,唱红歌，“小姐”得亚军 | 南方周末,"['唱红', '歌', '小姐', '亚军', '南方周末']"
3484432982222239,"我的歌声里 - Leeking说道 唱吧,玩音乐，就上唱吧！","['唱', '里', '歌声', '音乐', '上唱', '玩', '说道']"
3516569433166099,南都深呼吸 第15集 被劳教者任建宇,"['都', '深呼吸', '第集', '建宇', '劳教', '南']"
3515260344653283,来自美国8岁小吴莫愁 演绎Price Tag_视频在线观看 - 56.com,"['视频', '演绎', '观看', '来自', '莫', '岁', '小', '美国', '在线', '愁', '吴']"
3517097482843166,【在一起】天涯明月刀 刀刀砍节操,"['刀刀', '明月刀', '节操', '天涯', '一起', '砍']"
3515919131005648,【百度张根硕吧】2008夜心万万2艺能选手村show,"['张根硕', '万万', '选手村', '夜心', '艺能', '百度']"
3461822030069834,一个流传多年的谣言_韩寒_新浪博客,"['多年', '流传', '韩寒', '博客', '谣言', '新浪']"
3514354471189107,互联网电视盒：造反电视，十年不成,"['互联网', '电视盒', '电视', '造反', '十年']"
3489015757605558,台当局发表声明不认日购岛考虑召回驻日代表|台湾|钓鱼岛|日本_新浪新闻,"['代表', '日本', '召回', '钓鱼岛', '新闻', '不认', '新浪', '驻', '考虑', '台湾', '日', '台当局', '购岛', '发表声明']"
3515748850831323,韩国美食节目提到张根硕，并打探隐私。,"['美食', '张根硕', '提到', '韩国', '打探', '节目', '隐私']"
3481451926429529,韩科学家开发新型锂电池充电速度提升120倍_科学探索_科技时代_新浪网,"['科技时代', '新型', '探索', '韩', '新浪网', '锂电池', '充电', '科学', '科学家', '速度', '提升', '开发', '倍']"
